,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
2,0.1429834454254551,0.0013472173240730925,receive FN1 receive PARs,Osteoblasts,MSPCOsteo
6,0.14306558395423893,0.0013385320089985729,send ANNEXIN receive JAM,ECArteriolar,Neutrophils
27,0.14411697170237436,0.0012318152217971647,send ESAM receive GALECTIN,lin,"HSC, ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes"
28,0.14411697170237436,0.0012318152217971647,receive ESAM receive GALECTIN,"HSC, lin","lin, ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes"
40,0.14467730686564342,0.001178195616600075,send CD52 receive PECAM1,Dendritic cells,"small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
39,0.14467730686564342,0.001178195616600075,send CD52 send PECAM1,"proB, Neutro prog, Dendritic cells, small preB","B cell, Dendritic cells, CLP"
33,0.14469994825126742,0.0011760749051097192,receive ANGPTL send VEGF,"Chondrocytes, Osteo, Fibroblasts, Pericytes","ECArteriolar, ECSinusoidal"
9,0.1450185205417817,0.0011466062138634136,send MHC-I send SELL,T cells,"GMP, MPP"
46,0.1452255807875239,0.0011278191263702651,send PSAP receive SELPLG,MPP,Schwanncells
50,0.14553131826424326,0.0011005971035316553,receive BAFF receive PECAM1,Neutrophils,Mono prog
49,0.14553131826424326,0.0011005971035316553,receive BAFF send PECAM1,Neutrophils,Mono prog
53,0.14566615303822578,0.0010887853685308938,send PECAM1 receive SEMA4,Monocytes,LMPPs
54,0.14566615303822578,0.0010887853685308938,receive PECAM1 receive SEMA4,Monocytes,LMPPs
60,0.14652020724338227,0.0010166432392394408,receive PTN send VISFATIN,"Osteoblasts, Osteo","ECArteriolar, ECSinusoidal"
62,0.14681568717604865,0.0009927291968500726,receive BAFF send FGF,Neutrophils,"MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, Myofibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo"
1,0.14694020098043448,0.000982808315988685,receive MK send VEGF,"MSPCAdipo, Osteo, MSPCOsteo","ECArteriolar, ECArteriar"
7,0.14725034945413332,0.000958493203823499,receive CD34 receive GALECTIN,"Neutro prog, CMP, lin","Mk prog, Ery prog, MEP, EryMk prog, CMP, lin, CLP, LMPPs"
41,0.14767095824039939,0.0009264051602112314,receive CD34 send GRN,"EoBaso prog, Mono prog, GranMono prog, GMP, CMP, MPP, ECArteriar, ECArteriolar, LMPPs",Schwanncells
52,0.14824240127312419,0.0008843986513692639,receive PARs receive THBS,"Neutrophils, Monocytes","Chondrocytes, Osteo, Fibroblasts, Neutrophils, Osteoblasts, Smoothmuscle, MSPCOsteo, Monocytes"
29,0.14839696956815135,0.0008733428026785912,receive ADIPONECTIN receive GALECTIN,"MSPCAdipo, EoBaso prog, small preB, EryMk prog, lin, large preB, proB, CLP, MSPCOsteo","ECArteriolar, MSPCOsteo, MSPCAdipo"
77,0.14842921928959263,0.00087105223628565,receive ESAM receive JAM,"HSC, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes","ECArteriolar, ECArteriar"
76,0.14842921928959263,0.00087105223628565,send ESAM receive JAM,ECArteriolar,"HSC, ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes"
73,0.14853313213768113,0.0008637094499336816,send CD34 receive LAMININ,"MSPCAdipo, NK cells, Osteo, Fibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo, Pericytes",HSC
80,0.14865714302739888,0.000855021384493892,receive GRN send VISFATIN,"MSPCAdipo, Osteo, Dendritic cells, Osteoblasts, MSPCOsteo, Monocytes",HSC
59,0.14867919398246607,0.0008534850062618572,receive CD34 receive LAMININ,"MSPCAdipo, Mono prog, EoBaso prog, Neutro prog, Osteo, Fibroblasts, NK cells, GranMono prog, GMP, CMP, MPP, HSC, CLP, Osteoblasts, LMPPs, Smoothmuscle, MSPCOsteo, Pericytes","Osteo, LMPPs, Smoothmuscle, MSPCOsteo, Pericytes, EoBaso prog, NK cells, GranMono prog, MPP, HSC, ECArteriar, CLP, ECArteriolar, MSPCAdipo, Mono prog, Fibroblasts, GMP, CMP, Osteoblasts"
79,0.14882037441480642,0.0008437087313860001,receive GRN receive VISFATIN,"Mono prog, Neutro prog, Mk prog, Erythroblasts, Dendritic cells, MEP, GranMono prog, Ery prog, GMP, CMP, HSC, MPP, lin, CLP, Monocytes","MSPCAdipo, Mono prog, Osteo, Erythroblasts, Dendritic cells, MEP, GranMono prog, Mk prog, Ery prog, GMP, CMP, HSC, MPP, lin, CLP, Osteoblasts, MSPCOsteo, Monocytes"
58,0.14906100645710868,0.0008272840861037107,receive PTN send VEGF,"Schwanncells, Osteoblasts, Osteo","ECArteriolar, ECArteriar, ECSinusoidal"
