,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
8,0.15022262711008136,0.0007520755931396213,send ANNEXIN receive JAM,"Schwanncells, Smoothmuscle, Osteo, Pericytes",Neutrophils
9,0.15026116795098157,0.0007496923546670959,send CXCL send MHC-I,T cells,"NK cells, Dendritic cells"
2,0.15031210269624914,0.0007465534440168891,receive MK receive SELL,"Mono prog, NK cells, B cell, Dendritic cells, GranMono prog, T cells, LMPPs, Monocytes","MSPCAdipo, Osteo, MSPCOsteo"
17,0.1507260734288744,0.0007214897569594021,send BST2 send CD34,Monocytes,ECSinusoidal
21,0.15099593418095025,0.0007055732180415856,receive APP receive CD34,"Mono prog, GranMono prog, GMP, CMP, lin, LMPPs, Pericytes","ECArteriolar, ECArteriar, Pericytes"
0,0.15166877834567144,0.0006672942858329657,send GALECTIN receive MK,"MSPCAdipo, Osteo, MSPCOsteo","T cells, NK cells, Dendritic cells, Monocytes"
26,0.15167407800045085,0.0006670005730430494,send CD34 receive MK,Osteo,ECSinusoidal
28,0.1517809357521942,0.0006611039052227173,send MHC-II send SEMA4,"small preB, NK cells, Dendritic cells, Neutrophils, large preB, proB, T cells, Monocytes","B cell, Dendritic cells, CLP"
31,0.15185819051230826,0.0006568709408969471,send ANGPT receive KIT,"MSPCAdipo, ECArteriar, ECArteriolar, MSPCOsteo, Pericytes","ECArteriolar, ECArteriar, ECSinusoidal"
13,0.15198533915823947,0.0006499588483600286,send CCL send SELPLG,"NK cells, Neutrophils, large preB, T cells, Monocytes","Mono prog, NK cells, B cell, Dendritic cells, GranMono prog, GMP, lin, LMPPs, ECSinusoidal, Monocytes"
35,0.15204761141009573,0.0006465982444422569,send CCL receive PECAM1,"ECArteriolar, Schwanncells, ECArteriar, ECSinusoidal",Neutrophils
36,0.15204761141009576,0.0006465982444422556,send CCL send PECAM1,Neutrophils,"ECArteriolar, Schwanncells, ECArteriar, ECSinusoidal"
18,0.1521945040068824,0.0006387347182024151,send MHC-II send SELPLG,"Neutro prog, Dendritic cells, Neutrophils","GMP, Dendritic cells"
24,0.15222518168070232,0.0006371037010667613,receive ANGPTL send SEMA4,"Chondrocytes, Osteo, Fibroblasts, Pericytes","MSPCAdipo, MSPCOsteo"
25,0.15231918965432037,0.0006321296701225528,receive SELL send TGFb,"GMP, Neutrophils, CLP",Osteoblasts
38,0.1528111763715744,0.0006066806421072199,send ANGPT send CXCL,"NK cells, Dendritic cells","ECArteriolar, ECArteriar, ECSinusoidal"
39,0.15301686835838443,0.0005963253252586144,send BST2 send CCL,Neutrophils,Monocytes
19,0.15354657339788727,0.0005704082410685642,send ANGPT receive GALECTIN,"ECArteriolar, Neutro prog, Monocytes","ECArteriolar, ECArteriar, ECSinusoidal"
16,0.15365679497254023,0.0005651485455081728,receive PECAM1 receive SELL,"Neutro prog, GMP, CMP",Smoothmuscle
15,0.15365679497254023,0.0005651485455081728,send PECAM1 receive SELL,"Neutro prog, GMP, CMP",Smoothmuscle
29,0.15400308080446817,0.0005489155588544444,send IL2 send LAMININ,"T cells, Erythroblasts, Dendritic cells, CLP","Erythroblasts, Dendritic cells, CLP"
3,0.15410002114061608,0.0005444494469309386,send SEMA4 send SELPLG,"Mono prog, small preB, NK cells, B cell, Dendritic cells, GranMono prog, GMP, CMP, Neutrophils, LMPPs, T cells, Monocytes","NK cells, B cell, Dendritic cells, Neutrophils, large preB, proB, CLP, Osteoblasts, T cells, Monocytes"
47,0.15483752488702385,0.0005115611620601258,receive JAM receive PARs,CMP,ECArteriar
30,0.15516268011429124,0.0004976559366284876,send SELPLG send SEMA4,"small preB, NK cells, B cell, Dendritic cells, Neutrophils, large preB, proB, CLP, T cells, Monocytes","Mono prog, small preB, NK cells, B cell, CLP, Dendritic cells, GranMono prog, GMP, Neutrophils, CMP, LMPPs, T cells, ECSinusoidal, Monocytes"
50,0.155497389849826,0.0004837097304577368,send ANNEXIN receive ANGPTL,"Chondrocytes, Osteo, Fibroblasts, Pericytes",Neutrophils
52,0.1555332192296315,0.00048223857344969866,receive CCL receive CLEC,"B cell, Dendritic cells, Monocytes",MSPCAdipo
49,0.1556414249228206,0.00047782085672855057,send MHC-II receive SEMA4,"Osteoblasts, B cell, Dendritic cells, Monocytes",Dendritic cells
