,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
0,-0.2725461198562933,5.75509764122904e-10,send MIF send MHC-I,"T cells, NK cells","B cell, Fibroblasts, Dendritic cells, Myofibroblasts, CLP"
6,-0.24361441261755667,3.443344037656947e-08,receive CCL send MHC-I,"MSPCAdipo, B cell, Neutrophils, Monocytes",T cells
9,-0.23635598782588077,8.894905118959689e-08,send CD34 send CXCL,"NK cells, Dendritic cells",ECSinusoidal
10,-0.23609000596789242,9.204364850314373e-08,send ANGPT send PARs,"Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal","ECArteriolar, ECArteriar, ECSinusoidal"
5,-0.23227978462320786,1.4956243163508762e-07,send CXCL send CCL,"Neutrophils, Monocytes","NK cells, Dendritic cells"
2,-0.23123201284675976,1.7067339268326583e-07,send CD52 receive PARs,"Neutrophils, LMPPs, EoBaso prog, Neutro prog, NK cells, Dendritic cells, GranMono prog, MPP, lin, HSC, CLP, Monocytes, Mono prog, B cell, small preB, GMP, CMP, Osteoblasts, T cells","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
7,-0.22427227107773284,4.0381720236381435e-07,send CXCL receive SELL,"EoBaso prog, Mono prog, small preB, NK cells, B cell, Neutro prog, Dendritic cells, GranMono prog, Neutrophils, T cells, CMP, large preB, CLP, LMPPs, Monocytes","NK cells, Dendritic cells"
4,-0.22426387653793864,4.0423019601128707e-07,send CD34 receive PARs,"Neutrophils, LMPPs, EoBaso prog, Neutro prog, NK cells, Dendritic cells, GranMono prog, MPP, lin, HSC, CLP, Monocytes, Mono prog, B cell, small preB, GMP, CMP, Osteoblasts, T cells",ECSinusoidal
1,-0.22196875132552904,5.337741901182571e-07,send CCL receive PARs,"EoBaso prog, Mono prog, Neutro prog, NK cells, B cell, Dendritic cells, GranMono prog, GMP, MPP, lin, CMP, Neutrophils, HSC, LMPPs, Monocytes","Neutrophils, Monocytes"
3,-0.21608466747707478,1.074025322759382e-06,receive PARs receive SELL,"Neutrophils, LMPPs, EoBaso prog, NK cells, Neutro prog, Dendritic cells, GranMono prog, MPP, lin, HSC, large preB, CLP, Monocytes, Mono prog, B cell, small preB, GMP, CMP, T cells","EoBaso prog, Mono prog, NK cells, B cell, Neutro prog, Dendritic cells, GranMono prog, GMP, MPP, CMP, lin, Neutrophils, HSC, T cells, CLP, Osteoblasts, LMPPs, Monocytes"
15,-0.21446781421407124,1.2971370562152965e-06,send CD52 send PARs,"small preB, Neutro prog, B cell, Dendritic cells, HSC, proB","HSC, CLP"
19,-0.20638155857369905,3.262266443401868e-06,send CCL send ESAM,Neutrophils,"HSC, ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes"
18,-0.20638155857369905,3.262266443401868e-06,send CCL receive ESAM,"HSC, ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes",Neutrophils
17,-0.20459822625627053,3.978792683016533e-06,send CCL receive IGF,"MSPCAdipo, Osteo, Fibroblasts, MSPCOsteo, Pericytes","Neutrophils, Monocytes"
16,-0.2004045160030774,6.30325514553994e-06,receive IGF send SELL,"MSPCAdipo, Osteo, Fibroblasts, MSPCOsteo, Pericytes","Mono prog, GranMono prog, GMP, CMP, MPP, ECArteriar, ECArteriolar, LMPPs"
21,-0.1991865676931368,7.191459986623311e-06,send CD52 receive IGF,"MSPCAdipo, Osteo, Fibroblasts, MSPCOsteo, Pericytes","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
14,-0.19865087480050708,7.618822367862402e-06,receive PARs send SELL,"EoBaso prog, Mono prog, Neutro prog, NK cells, B cell, Dendritic cells, GranMono prog, GMP, MPP, CMP, lin, Neutrophils, Osteoblasts, LMPPs, Monocytes","Mono prog, GranMono prog, GMP, CMP, MPP, ECArteriar, ECArteriolar, LMPPs"
22,-0.19759225435057498,8.535591275929504e-06,send CXCL send PARs,"NK cells, Mk prog, EryMk prog, Ery prog, Dendritic cells","Mk prog, Dendritic cells, MEP, Ery prog, EryMk prog, Myofibroblasts, ECArteriolar, ECSinusoidal"
