,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
10,0.13159664481185818,0.0031974946348897453,receive IL2 send LAMININ,Neutro prog,Osteo
11,0.13164597943178405,0.003185981017950875,send GALECTIN send MIF,"T cells, Dendritic cells, Monocytes","B cell, Fibroblasts, Dendritic cells, Myofibroblasts, CLP"
19,0.1317978220661136,0.0031507802844521243,send ANGPTL receive SELL,Neutrophils,"MSPCAdipo, Chondrocytes, small preB, B cell, Fibroblasts, Osteo, large preB, proB, ECArteriar, Myofibroblasts, CLP, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes"
34,0.13219975959230015,0.0030593011279661402,receive IGF send VISFATIN,"MSPCAdipo, Osteo, Fibroblasts, MSPCOsteo, Pericytes","ECArteriolar, ECSinusoidal"
42,0.13228315043372088,0.0030406269343419543,send CCL send PSAP,Dendritic cells,Schwanncells
44,0.13234340434631464,0.0030271984959952475,receive CLEC send VISTA,"B cell, Dendritic cells, Monocytes",Schwanncells
45,0.1323883049932449,0.0030172268434127273,send CCL receive SELE,ECSinusoidal,Monocytes
47,0.13242861013310242,0.003008301225238821,receive CD39 send ICAM,"Smoothmuscle, ECArteriar",Dendritic cells
46,0.13245666825289346,0.0030021019076798545,send CCL receive LAMININ,"MSPCAdipo, NK cells, Osteo, Fibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo, Pericytes",Monocytes
57,0.1325732522548828,0.0029764674334851393,receive IL2 send SELPLG,Neutro prog,lin
0,0.13281383045213238,0.002924197446173213,send GALECTIN send THY1,"Neutrophils, Monocytes","EoBaso prog, Osteo, Fibroblasts"
5,0.13316150653634656,0.002850133381495869,receive FN1 send PSAP,"Chondrocytes, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo, Monocytes",Schwanncells
71,0.1332297288901899,0.0028358022134444753,receive CCL receive IL2,MSPCOsteo,MSPCAdipo
77,0.13341516786374397,0.0027971787329782714,send CD52 send CD45,B cell,"B cell, CLP"
78,0.13341516786374397,0.0027971787329782714,send CD45 send CD52,"small preB, Neutro prog, B cell, Dendritic cells, proB, CLP","B cell, ECSinusoidal"
79,0.13341516786374397,0.0027971787329782714,send CD52 receive CD22,B cell,"small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
81,0.1335823229182013,0.0027627745657159623,send LCK send TGFb,T cells,Osteoblasts
41,0.13362811571681749,0.002753416889194453,send SELPLG receive TENASCIN,"MSPCAdipo, Osteo, Fibroblasts, Osteoblasts, MSPCOsteo",lin
27,0.13366104209390922,0.002746706292323574,send CD34 receive CCL,"Neutrophils, Monocytes",ECSinusoidal
26,0.13377518581969322,0.0027235582652282006,receive CCL receive SELL,"T cells, NK cells, Neutrophils, Monocytes","Mono prog, NK cells, Dendritic cells, Neutrophils, Monocytes"
68,0.13391265770891594,0.0026959153029223392,receive EPHA receive SELPLG,"Neutro prog, Neutrophils",Osteo
91,0.1341879927611465,0.0026413179109809654,receive CD34 receive PARs,T cells,Fibroblasts
93,0.13421104840311007,0.002636792141345578,send CLEC receive CD22,B cell,"Mono prog, Monocytes"
94,0.13421104840311007,0.002636792141345578,send CD45 send CLEC,"Mono prog, Monocytes","B cell, ECSinusoidal"
95,0.1342431064731049,0.002630510960456978,receive CD34 send PARs,"Mono prog, GranMono prog, CMP, ECArteriar, ECArteriolar, LMPPs","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
88,0.13448505476033482,0.0025835437795520308,send LAMININ send MIF,"MSPCAdipo, Mono prog, B cell, Fibroblasts, Dendritic cells, Osteo, Pericytes, Schwanncells, Myofibroblasts, CLP, Osteoblasts, Smoothmuscle, Monocytes","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, B cell, Dendritic cells, Schwanncells, ECArteriar, Myofibroblasts, CLP, ECArteriolar, Osteoblasts, Smoothmuscle, Pericytes"
99,0.13461250934578334,0.0025591108209811714,send SEMA4 send VCAM,HSC,"MSPCAdipo, MSPCOsteo"
83,0.1347827498145052,0.002526804457443384,send GALECTIN receive SELPLG,"EoBaso prog, GMP, CLP",Mono prog
61,0.13520877638845277,0.0024475811985988564,receive ANGPTL send SELL,"MSPCAdipo, MEP, Osteoblasts, MSPCOsteo, ECSinusoidal","EoBaso prog, lin"
23,0.13523809006952564,0.0024422143005054064,send IL16 send SELPLG,"EoBaso prog, small preB, Neutro prog, Dendritic cells, Neutrophils, LMPPs","CMP, B cell, Dendritic cells, CLP"
105,0.13549541591756897,0.00239556056819131,receive CCL send MIF,MSPCOsteo,HSC
106,0.1356284433751159,0.002371762667848404,send GRN receive SELE,ECSinusoidal,Schwanncells
104,0.13611079937104772,0.0022872703902518067,send LAMININ send THY1,"Neutrophils, Monocytes","MSPCAdipo, Mono prog, Chondrocytes, Pericytes, Fibroblasts, Dendritic cells, Osteo, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, Monocytes"
109,0.13649152843661327,0.00222253088630529,receive HSPG receive SELPLG,large preB,"Chondrocytes, Osteo, Fibroblasts, ECArteriar, ECArteriolar, Osteoblasts, MSPCOsteo, ECSinusoidal"
113,0.1367099874995969,0.0021861441851556444,send BST2 send SELPLG,Monocytes,lin
112,0.1367766942506087,0.002175142446579836,receive ANGPTL send MHC-II,"Chondrocytes, Osteo, Fibroblasts, Pericytes",Dendritic cells
114,0.1368455906035601,0.002163832723136834,receive LAMININ send PARs,"MSPCAdipo, NK cells, Osteo, Fibroblasts, Osteoblasts, Smoothmuscle, MSPCOsteo, Pericytes","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
110,0.13699859108760945,0.00213890879956882,receive COLLAGEN receive SEMA4,"B cell, Dendritic cells, Schwanncells, Osteoblasts, Smoothmuscle, Pericytes","MSPCAdipo, Chondrocytes, Osteo, Fibroblasts, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes"
117,0.1370940652818546,0.0021234892280461194,send ANGPTL send LAIR1,"large preB, small preB, proB, Monocytes","MSPCAdipo, Chondrocytes, B cell, Fibroblasts, Osteo, Monocytes, ECArteriar, Myofibroblasts, CLP, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Pericytes"
118,0.1372066272930768,0.00210544045959439,receive IL2 send MHC-II,MSPCAdipo,Dendritic cells
8,0.13734879903754865,0.0020828444047041564,send GALECTIN send SELL,"EoBaso prog, Mono prog, small preB, NK cells, B cell, Dendritic cells, EryMk prog, GMP, MPP, Neutrophils, T cells, Monocytes","Mono prog, B cell, Fibroblasts, EryMk prog, GMP, MPP"
