,Correlation,Adj. P-val,Name,Interacting Cell Type Pathway 1,Interacting Cell Type Pathway 2
0,-0.44726515469876604,5.717445467150314e-26,send MHC-I send PARs,"T cells, NK cells","Mk prog, EryMk prog, Ery prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
1,-0.4322651008669674,3.477947311290368e-24,send CD52 send MHC-I,"small preB, Neutro prog, NK cells, proB, T cells","Neutro prog, B cell, NK cells, Dendritic cells, CLP, T cells"
6,-0.3475798883437643,1.2038020455289436e-15,send MHC-II send PARs,"EryMk prog, Mk prog, Ery prog, Dendritic cells","Dendritic cells, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
3,-0.3416058287709323,3.919258651951552e-15,receive APP send PARs,"Osteo, Neutrophils, Smoothmuscle, MSPCOsteo, Pericytes, Neutro prog, GranMono prog, MPP, ECArteriar, ECArteriolar, Monocytes, MSPCAdipo, Mono prog, Chondrocytes, ECSinusoidal, Fibroblasts, Schwanncells, GMP, Myofibroblasts, Osteoblasts","Mk prog, Ery prog, EryMk prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal"
8,-0.33644111474607086,1.0655730599182717e-14,send COMPLEMENT send MHC-II,"Neutrophils, Monocytes",Dendritic cells
9,-0.32764059832220166,5.6129498348173756e-14,send ANGPT send PARs,"Mk prog, Ery prog, EryMk prog, MEP, Myofibroblasts, ECArteriolar, ECSinusoidal","ECArteriolar, ECArteriar, ECSinusoidal"
5,-0.32358747048620407,1.1851309924861359e-13,send COMPLEMENT send MHC-I,"T cells, NK cells, Neutrophils","NK cells, Neutrophils, Monocytes"
11,-0.31762416982152525,3.4875824742116197e-13,send MHC-II send VISTA,Dendritic cells,Schwanncells
2,-0.3138928641140428,6.769606461615494e-13,send CCL send MHC-I,"T cells, NK cells, Neutrophils","NK cells, Neutrophils, Monocytes"
7,-0.31072799280274566,1.179576042324832e-12,send MHC-I send VISTA,"T cells, NK cells",Schwanncells
14,-0.30451678507978736,3.4410244154071157e-12,receive ESAM send PARs,"ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes","Mk prog, EryMk prog, MEP, Ery prog, Myofibroblasts, ECArteriolar, ECSinusoidal"
13,-0.3045167850797873,3.4410244154071407e-12,send ESAM send PARs,"Mk prog, EryMk prog, MEP, Ery prog, Myofibroblasts, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes","ECArteriar, Myofibroblasts, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes"
10,-0.30387692851007564,3.8367511129550136e-12,receive CCL send MHC-I,"MSPCAdipo, B cell, Neutrophils, Monocytes","T cells, NK cells"
15,-0.30084238770345173,6.406152971514284e-12,send CD52 send MHC-II,"proB, Neutro prog, Dendritic cells, small preB","B cell, Dendritic cells, CLP"
4,-0.30032042178004814,6.992473877746378e-12,send MHC-I send SELL,"T cells, NK cells","Mono prog, GranMono prog, GMP, CMP, MPP, lin, ECArteriar, ECArteriolar, LMPPs"
21,-0.2835605387402452,1.0607941570778322e-10,send CD52 send PARs,"small preB, Neutro prog, B cell, Dendritic cells, HSC, proB","HSC, CLP"
26,-0.2705914954926823,7.708871188398084e-10,send ANGPT send CD52,"small preB, Neutro prog, B cell, Dendritic cells, proB, CLP","ECArteriolar, ECArteriar, ECSinusoidal"
22,-0.26670468087283344,1.3689976565533126e-09,send ANNEXIN send MHC-I,"T cells, Neutrophils","NK cells, Neutrophils"
18,-0.26424010655449615,1.961048451539723e-09,send MHC-I receive VCAM,"EoBaso prog, NK cells, Neutro prog, Erythroblasts, Dendritic cells, Ery prog, EryMk prog, GranMono prog, MEP, CMP, HSC, CLP, T cells, Monocytes","T cells, NK cells"
19,-0.264238418283298,1.9615288419917493e-09,send MHC-I send VCAM,"T cells, NK cells",HSC
16,-0.26397471181495596,2.0379856143583075e-09,send CD52 receive PARs,"Neutrophils, LMPPs, EoBaso prog, Neutro prog, NK cells, Dendritic cells, GranMono prog, MPP, lin, HSC, CLP, Monocytes, Mono prog, B cell, small preB, GMP, CMP, Osteoblasts, T cells","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
20,-0.2635995417757674,2.151767450681478e-09,receive APP send CD52,"MSPCAdipo, Mono prog, Chondrocytes, Neutro prog, Osteo, Fibroblasts, Pericytes, Schwanncells, ECArteriar, Myofibroblasts, ECArteriolar, Osteoblasts, Smoothmuscle, MSPCOsteo, ECSinusoidal, Monocytes","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
17,-0.26230860043983534,2.5923902902131556e-09,send ANGPT send CCL,"Neutrophils, Monocytes","ECArteriolar, ECArteriar, ECSinusoidal"
32,-0.25560956431479653,6.707615402786893e-09,send ANNEXIN send MHC-II,Neutrophils,Dendritic cells
33,-0.25504034623840155,7.262958577782409e-09,send CD52 receive ESAM,"ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes","small preB, Neutro prog, B cell, Dendritic cells, proB, CLP"
34,-0.25504034623840127,7.262958577782728e-09,send CD52 send ESAM,"small preB, Neutro prog, B cell, Dendritic cells, proB, CLP","ECArteriar, ECArteriolar, Smoothmuscle, ECSinusoidal, Pericytes"
28,-0.24887992705049142,1.6968974439994172e-08,receive APP send TGFb,"Osteo, Neutrophils, Smoothmuscle, MSPCOsteo, Pericytes, Neutro prog, GranMono prog, ECArteriar, ECArteriolar, Monocytes, MSPCAdipo, Mono prog, Chondrocytes, ECSinusoidal, Fibroblasts, Schwanncells, GMP, Myofibroblasts, Osteoblasts",Osteoblasts
